"","site","mriver","riversd","mgw","gwsd","mprecip","precipsd"
"1",4,0.341727226885395,0.200192150458743,0.346735855331728,0.19302072683607,0.311536917782877,0.120670293900811
"2",6,0.525707061914764,0.130033863105485,0.0760889375065519,0.0459297309491318,0.398204000578684,0.123378378905224
"3",9,0.37202977348536,0.231240701365014,0.445561991550302,0.214856071051084,0.182408234964338,0.095546701626913
"4",16,0.37704561139583,0.198212720130018,0.249136636794495,0.117623571795766,0.373817751809675,0.135074485669904
"5",21,0.362422465811353,0.216154737067538,0.375242257874076,0.144109761137866,0.26233527631457,0.13170255776205
"6",24,0.129583217824553,0.0839160522291033,0.76685571149031,0.0946241614163726,0.103561070685138,0.0632975527510153
"7",31,0.662069984000289,0.149685456566628,0.23154947342076,0.112740618494666,0.10638054257895,0.0690968582541765
"8",32,0.353962783716133,0.212094423404615,0.382650287732517,0.146113599283841,0.26338692855135,0.129690077311399
"9",38,0.55273768793512,0.201690326862338,0.226889811756953,0.118003424926409,0.220372500307927,0.123455479445663
"10",39,0.727744963999651,0.128096889529492,0.177440081183568,0.0986192814131204,0.0948149548167811,0.0603867079407767
"11",43,0.822278286178313,0.0848273465071564,0.090578128649122,0.0586147841114159,0.0871435851725645,0.0552004571983465
"12",47,0.826164535403751,0.0899452935638578,0.120491579944102,0.0769593332593306,0.0533438846521469,0.0338077578157894
"13",48,0.563965138757424,0.200325275424328,0.261776744630979,0.130612908133233,0.174258116611597,0.109446942562072
"14",49,0.551350708925506,0.142941334903368,0.359757626195885,0.119434921977619,0.0888916648786087,0.0582878030948602
"15",51,0.359617853235616,0.172067595855006,0.493735352935499,0.133968690902346,0.146646793828885,0.0938616274483697
"16",52,0.673949147245999,0.133987784254949,0.249664994439791,0.111533083833613,0.0763858583142098,0.0500879237742817
"17",62,0.769458034164665,0.108941265233938,0.119059746437245,0.0733339752763244,0.11148221939809,0.0678997976348392
"18",63,0.387503151154695,0.272424760522655,0.448658738401378,0.307222925542356,0.163838110443927,0.0960131703279704
"19",70,0.710370283613948,0.126380902635026,0.0552900413083597,0.0364026595402098,0.234339675077692,0.123530076208734
"20",71,0.335825762435873,0.206965715987538,0.353381995396626,0.144379789105984,0.310792242167501,0.130542345758854
"21",76,0.634469328956457,0.168036113022502,0.240582831706559,0.120676274262209,0.124947839336983,0.0827137586285395
"22",80,0.568268286843969,0.197535649779517,0.188185790406151,0.105430789860267,0.24354592274988,0.131195175679512
"23",104,0.301097060123937,0.167755215520977,0.517686113469776,0.131438968313754,0.181216826406287,0.103819911873765
"24",105,0.116208543327001,0.0806923942993038,0.792384949106738,0.0916534078044067,0.0914065075662615,0.0584439884289222
"25",106,0.117173558368381,0.0807779511594193,0.789690258911365,0.0912335801735375,0.0931361827202536,0.0593815585383915
