"","site","mriver","riversd","mgw","gwsd","mprecip","precipsd"
"1","4",0.449454228279261,0.159698161489593,0.334781110578518,0.143886142699036,0.215764661142221,0.0399474984284902
"2","6",0.041861013189152,0.0236893389926945,0.200561714512358,0.0266261644587908,0.75757727229849,0.0265003318505119
"3","9",0.0542124039517637,0.0297390667446527,0.298490336346364,0.0357673126449344,0.647297259701873,0.0324166203124389
"4","16",0.114685690084858,0.0576070401488465,0.303957259644836,0.0540438089137693,0.581357050270306,0.0356005023530134
"5","21",0.158187547619998,0.0796880369778685,0.443235762182892,0.0764423916847282,0.398576690197111,0.0430848030341632
"6","24",0.544793944839392,0.142388876209952,0.285398108451516,0.120934535082735,0.169807946709092,0.0403549958849517
"7","27",0.0520938836844488,0.029305016044469,0.34204536367879,0.038012340252002,0.605860752636761,0.0342351474378929
"8","29",0.00909921660499169,0.00577334600094351,0.778125395014455,0.318882216502096,0.212775388380553,0.320245764050415
"9","30",0.290693786419306,0.105783677750137,0.231448102848995,0.0933338964698034,0.477858110731699,0.033698398279144
"10","31",0.142571060309836,0.0822801740915224,0.647059543230723,0.0849260962126968,0.210369396459441,0.0554572555114099
"11","32",0.662253339552323,0.14589271259732,0.230438300232709,0.126855548432465,0.107308360214968,0.0369177699326959
"12","36",0.00948247866461203,0.00607044155055123,0.970930158681076,0.0156808686064058,0.0195873626543117,0.013929652573714
"13","38",0.119452660846834,0.0650577209521953,0.538232176763314,0.069027268391756,0.342315162389852,0.0496700131353647
"14","39",0.0227321793616049,0.0129092414936418,0.234935797244543,0.0244459104704861,0.742332023393852,0.0243502560277783
"15","40",0.0117823892857572,0.007172368472023,0.940511100218309,0.0417105065362163,0.0477065104959336,0.0403882212761461
"16","43",0.117331886515665,0.0745742064903455,0.808899263307557,0.0783726153876726,0.0737688501767778,0.0389512252616052
"17","44",0.0253361827594336,0.0141514347571904,0.363125941371789,0.0370562863966921,0.611537875868777,0.0363068951740537
"18","46",0.602737276802786,0.182376363527986,0.327916648836157,0.162558933355426,0.0693460743610566,0.0356314406189056
"19","49",0.0415130324791047,0.0236996712635716,0.312310294028776,0.0384939979388717,0.646176673492119,0.0356136708872227
"20","50",0.00615283812958554,0.00380529934856452,0.98292206111259,0.00884276036963421,0.010925100757825,0.00759052728206773
"21","51",0.00486296830902799,0.00297328181477701,0.987237184722602,0.00637415527427618,0.00789984696837046,0.00536003652065682
"22","59",0.0164972455736177,0.00906585003047607,0.457997051393645,0.0485589077906625,0.525505703032737,0.0489159608746465
"23","62",0.211831837618402,0.0888433416747119,0.351302509505706,0.0782830573148222,0.436865652875892,0.0376270517612795
"24","63",0.186659146290093,0.0908553795817093,0.467368384695487,0.0859381173979907,0.34597246901442,0.0444314410652935
"25","64",0.100420440365155,0.0526297844784777,0.351941456873223,0.0521807520307396,0.547638102761622,0.0366230531361112
"26","65",0.00636276487270685,0.00421327467793762,0.780802198591616,0.343332635162437,0.212835036535677,0.344617498497627
"27","67",0.0105010353114985,0.00574239571471378,0.168214079461444,0.0153037472892176,0.821284885227057,0.0155621090665539
"28","68",0.0157345778825836,0.00894260620908795,0.242549619542606,0.0230496870228756,0.74171580257481,0.0232273054334671
"29","70",0.630619068376884,0.109013585750467,0.112258867548087,0.0933873139979903,0.257122064075029,0.0308431505953684
"30","71",0.807369824623278,0.120897913712089,0.122749655939202,0.103581514585022,0.0698805194375199,0.0309074428396064
"31","73",0.742849363277585,0.24523208410466,0.222507692648377,0.227810859177611,0.0346429440740379,0.0266285476058017
"32","76",0.0260207398527326,0.0146845753546124,0.262295193898736,0.0272989553341248,0.711684066248531,0.0271749693039932
